worker_id,submit_time,start_time,waiting_time
0,35.40770989718752,35.40770989718752,0.0
0,101.50699828658156,101.50699828658156,0.0
0,140.50383600841784,140.50383600841784,0.0
0,206.1992359064288,206.1992359064288,0.0
0,290.8583627914687,290.8583627914687,0.0
0,358.52249925038564,358.52249925038564,0.0
0,442.8647991535595,442.8647991535595,0.0
0,502.8315427580809,502.8315427580809,0.0
0,588.0259952227017,588.0259952227017,0.0
0,648.5672624979737,648.5672624979737,0.0
0,700.400401642563,700.400401642563,0.0
0,810.4998302272267,810.4998302272267,0.0
0,868.6657020803198,868.6657020803198,0.0
0,1042.0148411134178,1042.0148411134178,0.0
0,1102.2704894813542,1102.2704894813542,0.0
0,1161.0428746806365,1161.0428746806365,0.0
0,1186.7783533443576,1186.7783533443576,0.0
0,1247.4426447252617,1247.4426447252617,0.0
0,1385.9900716158702,1385.9900716158702,0.0
0,1502.298495377445,1502.298495377445,0.0
0,1584.416172301878,1584.416172301878,0.0
0,1672.90038399735,1672.90038399735,0.0
0,1744.4742922698756,1744.4742922698756,0.0
0,1824.4087095352118,1824.4087095352118,0.0
0,1906.3794587769237,1906.3794587769237,0.0
0,1968.8146733843955,1968.8146733843955,0.0
0,2015.2589931995676,2015.2589931995676,0.0
0,2040.2783921222765,2040.2783921222765,0.0
0,2142.5491246295783,2142.5491246295783,0.0
0,2189.101912929765,2189.101912929765,0.0
0,2342.8366659981375,2342.8366659981375,0.0
0,2401.4302013693773,2401.4302013693773,0.0
0,2473.9723254338696,2473.9723254338696,0.0
0,2553.9975456463644,2553.9975456463644,0.0
1,80.24517912971976,80.24517912971976,0.0
1,114.0757402481264,114.0757402481264,0.0
1,150.51592927973223,150.51592927973223,0.0
1,229.51673453794302,229.51673453794302,0.0
1,316.8354422820454,316.8354422820454,0.0
1,398.44555721742614,398.44555721742614,0.0
1,457.52039463603836,457.52039463603836,0.0
1,569.0987164138958,569.0987164138958,0.0
1,608.3177990547235,608.3177990547235,0.0
1,656.206182274259,656.206182274259,0.0
1,732.3725999291605,732.3725999291605,0.0
1,816.2998993918103,816.2998993918103,0.0
1,909.4684681133381,909.4684681133381,0.0
1,1047.7835676618583,1047.7835676618583,0.0
1,1124.045249576808,1124.045249576808,0.0
1,1172.7832486084644,1172.7832486084644,0.0
1,1197.1160981299108,1197.1160981299108,0.0
1,1304.1541902980682,1304.1541902980682,0.0
1,1446.1456131256793,1446.1456131256793,0.0
1,1529.441578239786,1529.441578239786,0.0
1,1620.8864318339322,1620.8864318339322,0.0
1,1702.4534686419313,1702.4534686419313,0.0
1,1773.226780479178,1773.226780479178,0.0
1,1871.3544946937566,1871.3544946937566,0.0
1,1917.0361890993665,1917.0361890993665,0.0
1,1988.1739635442952,1988.1739635442952,0.0
1,2020.9079377160192,2020.9079377160192,0.0
1,2092.979425095605,2092.979425095605,0.0
1,2147.3848332813727,2147.3848332813727,0.0
1,2276.7532177084518,2276.7532177084518,0.0
1,2365.7185999556505,2365.7185999556505,0.0
1,2426.9994108229344,2426.9994108229344,0.0
1,2526.863028656958,2526.863028656958,0.0
2,88.21541455699249,88.21541455699249,0.0
2,128.22889289106104,128.22889289106104,0.0
2,159.55517744392378,159.55517744392378,0.0
2,271.1134134961138,271.1134134961138,0.0
2,341.0358352507064,341.0358352507064,0.0
2,426.8922378461113,426.8922378461113,0.0
2,492.78636558912774,492.78636558912774,0.0
2,582.6991411102587,582.6991411102587,0.0
2,617.8709657154869,617.8709657154869,0.0
2,679.3435955264341,679.3435955264341,0.0
2,759.551811224332,759.551811224332,0.0
2,852.0013189877219,852.0013189877219,0.0
2,925.3190970057396,925.3190970057396,0.0
2,1075.769703738279,1075.769703738279,0.0
2,1153.9338472409095,1153.9338472409095,0.0
2,1184.7591803379262,1184.7591803379262,0.0
2,1226.5412589040905,1226.5412589040905,0.0
2,1327.2749780222966,1327.2749780222966,0.0
2,1480.6539520586134,1480.6539520586134,0.0
2,1571.1035192585894,1571.1035192585894,0.0
2,1649.7285260999643,1649.7285260999643,0.0
2,1737.0782474012383,1737.0782474012383,0.0
2,1787.54718721158,1787.54718721158,0.0
2,1880.269013029302,1880.269013029302,0.0
2,1939.806578433891,1939.806578433891,0.0
2,1997.3536530670794,1997.3536530670794,0.0
2,2024.2272775595943,2024.2272775595943,0.0
2,2114.805654682334,2114.805654682334,0.0
2,2158.085211594993,2158.085211594993,0.0
2,2297.414727689758,2297.414727689758,0.0
2,2379.549290962726,2379.549290962726,0.0
2,2459.8254426209164,2459.8254426209164,0.0
2,2539.353343059622,2539.353343059622,0.0
